SUB_MAE;SUB_FILHA;CIRCUITO;MAE;FILHA
449886789;18521262;431187091;SETD INFLUENCIA;SESD COTRIL
18520353;30526190;18770033;SETD CENTENÁRIO;SESD PALMAS
449886789;18520551;431187360;SETD INFLUENCIA;SESD JAMAPARA
18520326;109363914;18770507;SETD TRES RIOS;SESD LEVY
18520353;18520884;18770027;SETD CENTENÁRIO;SESD BARAO DE JUPARANA
18520398;18520866;18770453;SETD SAUDADE;SESD FLORIANO
18520398;18521271;18770453;SETD SAUDADE;SESD VILA POMBAL
18520470;18521253;18770645;SETD VOLTA REDONDA;SESD ATAULFO DE PAIVA
18519958;18521172;18772661;SETD ESPERANÇA;SESD PIRANEMA
18520893;457701774;18772313;SETD QUEIMADOS;SESD CARAMUJOS
18521208;18521181;135610322;SETD BRISAMAR;SESD COLONIAL
18520893;497739010;18772289;SETD QUEIMADOS;SESD VILA AMERICANA
18521352;319319016;18770987;SETD ELDORADO;SESD SAO LOURENCO
18521208;25794114;18795847;SETD BRISAMAR;SESD CAÇADOR
29148432;550392038;608752098;SETD MATO ALTO;SESD MARMELO
29148432;135613108;113096174;SETD MATO ALTO;SESD AMERICAS
29148432;25455230;106491888;SETD MATO ALTO;SESD GUARATIBA
449886789;18520848;431187091;SETD INFLUENCIA;SESD CARMO
18521154;25334769;18796015;SETD SEROPÉDICA;SESD UNIVERSIDADE
29148432;22183116;106491660;SETD MATO ALTO;SESD PIAI
18521208;25764042;18795901;SETD BRISAMAR;SESD MAZOMBA
18519958;455138316;18772673;SETD ESPERANÇA;SESD MANGUARIBA
