ID;NOME;CLASSIFICACAO;POT_UNTRD;POT_UNTRS
18520353;SETD CENTENÁRIO;2a. Transformadora (Potência > 0);0.0;73.6
18520524;SESD IPIRANGA;1a. Distribuição (Carga Real > 0);10645.0;0.0
1249;SETD COLEGIO;1a. Distribuição (Carga Real > 0);192012.5;100.0
18520533;SESD MAÇAMBARA;1a. Distribuição (Carga Real > 0);7385.0;0.0
18520542;SESD ESTEVES;1a. Distribuição (Carga Real > 0);10750.0;0.0
1258;SETD GUADALUPE;1a. Distribuição (Carga Real > 0);202270.0;120.0
18520551;SESD JAMAPARA;1a. Distribuição (Carga Real > 0);15252.5;0.0
1267;SETD VIGARIO GERAL;1a. Distribuição (Carga Real > 0);143342.5;120.0
18520560;SESD GOVERNADOR PORTELA;1a. Distribuição (Carga Real > 0);28402.5;0.0
18520569;SESD BOCAINA;1a. Distribuição (Carga Real > 0);28415.0;0.0
550907318;SETD COMPANHIA BRASILEIRA DE BEBIDAS;4. Transporte (Sem Topologia);0.0;0.0
322244161;SETD BARBARA;4. Transporte (Sem Topologia);0.0;0.0
18520281;SESD GETULANDIA;1a. Distribuição (Carga Real > 0);14090.0;0.0
18521253;SESD ATAULFO DE PAIVA;1a. Distribuição (Carga Real > 0);3997.5;0.0
326499107;SESD VILA ISABEL;1a. Distribuição (Carga Real > 0);17797.5;0.0
551027550;SETD FABRICA DE VIDROS;4. Transporte (Sem Topologia);0.0;0.0
18520434;SESD RIO CLARO;1a. Distribuição (Carga Real > 0);18070.0;0.0
279436352;SETR  BONFIM;3. Transporte (Com Topologia);0.0;0.0
18520578;SESD JAPERI;1a. Distribuição (Carga Real > 0);31532.5;0.0
335893881;SESD ILHA DE PAQUETA;1a. Distribuição (Carga Real > 0);5032.5;0.0
18521055;SETD COELHO DA ROCHA;1a. Distribuição (Carga Real > 0);141162.5;120.0
18520290;SESD MONTANHES;1a. Distribuição (Carga Real > 0);10437.5;0.0
10385916;SETD PORTA D'AGUA;1a. Distribuição (Carga Real > 0);379572.5;197.999
18521262;SESD COTRIL;1a. Distribuição (Carga Real > 0);10812.5;0.0
18520587;SESD MOURA BRASIL;1a. Distribuição (Carga Real > 0);19372.5;0.0
18521064;SETD FONTINELE;1a. Distribuição (Carga Real > 0);117647.5;60.0
345834478;SETD BARRA 2;1a. Distribuição (Carga Real > 0);165462.5;120.0
18520596;SESD WERNECK;1a. Distribuição (Carga Real > 0);34777.5;0.0
280191046;SETD CINTRA;4. Transporte (Sem Topologia);0.0;0.0
18520443;SESD PATY DO ALFERES;1a. Distribuição (Carga Real > 0);45290.0;0.0
18521073;SESD AMPARO;1a. Distribuição (Carga Real > 0);9552.5;0.0
498327289;SETD PCH LAJES;4. Transporte (Sem Topologia);0.0;0.0
502578496;SETD BASE NAVAL_DESATIVADA;4. Transporte (Sem Topologia);0.0;0.0
10386033;SETD LEOPOLDO;1a. Distribuição (Carga Real > 0);111115.0;80.0
502844928;SETD ASCENTY_DESATIVADA;4. Transporte (Sem Topologia);0.0;0.0
10386087;SETD POSTO SEIS;1a. Distribuição (Carga Real > 0);203700.0;120.0
504476367;SETD DUPONT;4. Transporte (Sem Topologia);0.0;0.0
1276;SETD MATURACA;1a. Distribuição (Carga Real > 0);151225.0;80.0
10386096;SETD HUMAITÁ;1a. Distribuição (Carga Real > 0);80312.5;60.0
1285;SETD AGUA GRANDE;1a. Distribuição (Carga Real > 0);140757.5;60.0
504644331;SETD RIO DA CIDADE;4. Transporte (Sem Topologia);0.0;0.0
553217490;SETD PORTO SUDESTE;4. Transporte (Sem Topologia);0.0;0.0
10386042;SETD CURICICA;1a. Distribuição (Carga Real > 0);262080.0;120.0
18520731;SETD AREIA BRANCA;1a. Distribuição (Carga Real > 0);217317.5;120.0
135613108;SESD AMERICAS;1a. Distribuição (Carga Real > 0);38490.0;0.0
134608399;SESD SANTA PERCILIANA;1a. Distribuição (Carga Real > 0);25095.0;0.0
10386105;SETD FREI CANECA;1a. Distribuição (Carga Real > 0);275087.5;220.0
1294;SETD TURIACU;1a. Distribuição (Carga Real > 0);150402.5;60.0
138550225;SESD VITORIA;1a. Distribuição (Carga Real > 0);28110.0;0.0
553221784;SETD USINA GERADORA SANTA FE;4. Transporte (Sem Topologia);0.0;0.0
10386114;SETD MACKENZIE;1a. Distribuição (Carga Real > 0);146712.5;120.0
18520794;SETD VILAR DOS TELES;1a. Distribuição (Carga Real > 0);84592.5;60.0
143020517;SESD CONSERVATORIA;1a. Distribuição (Carga Real > 0);17492.5;0.0
553273312;SETD USINA MONTE SERRAT;4. Transporte (Sem Topologia);0.0;0.0
152677490;SETD COPACABANA;1a. Distribuição (Carga Real > 0);142887.5;120.0
1303;SETD PAVUNA;1a. Distribuição (Carga Real > 0);174460.0;120.0
18519958;SETD ESPERANÇA;1a. Distribuição (Carga Real > 0);160957.5;260.0
553286194;SETD USINA BONFANTE;4. Transporte (Sem Topologia);0.0;0.0
224567922;SETD MARAPICU;1a. Distribuição (Carga Real > 0);83280.0;60.0
1312;SETD MERITI;1a. Distribuição (Carga Real > 0);107377.5;96.0
10386051;SETD CAMPO MARTE;1a. Distribuição (Carga Real > 0);97872.5;174.8
18520803;SETD SARAPUI;1a. Distribuição (Carga Real > 0);148540.0;100.0
248609788;SESD MARCONE;1a. Distribuição (Carga Real > 0);35815.0;0.0
553290488;SETD USINA DE SANTA CRUZ;4. Transporte (Sem Topologia);0.0;0.0
18519967;SESD FRANCISCO  MEDEIROS;1a. Distribuição (Carga Real > 0);70115.0;0.0
18520740;SESD SEPETIBA;1a. Distribuição (Carga Real > 0);37410.0;0.0
258717802;SESD PENTAGNA;1a. Distribuição (Carga Real > 0);18590.0;0.0
10385871;SETD TAQUARA;1a. Distribuição (Carga Real > 0);270502.5;120.0
272870827;SEMT PALMARES;3. Transporte (Com Topologia);0.0;0.0
18520812;SESD VILA DE CAVA;1a. Distribuição (Carga Real > 0);30667.5;0.0
1123;SETD TERRA NOVA;1a. Distribuição (Carga Real > 0);151545.0;60.0
553294782;SETD CEPEL;4. Transporte (Sem Topologia);0.0;0.0
18519976;SETD NOVA IGUACU;1a. Distribuição (Carga Real > 0);236412.5;177.999
18520749;SETD JABOATAO;1a. Distribuição (Carga Real > 0);253850.0;120.0
553299076;SETD PORTUÁRIA DE SEPETIBA;4. Transporte (Sem Topologia);0.0;0.0
18519985;SETD ROSALI;1a. Distribuição (Carga Real > 0);208687.5;120.0
275730622;SETR PAULA BRITO;4. Transporte (Sem Topologia);0.0;0.0
10385880;SETD JARDIM BOTANICO;1a. Distribuição (Carga Real > 0);144515.0;120.0
277466329;SETD AGA;4. Transporte (Sem Topologia);0.0;0.0
553303370;SETD CPR COMERCIO DE PLASTICO;4. Transporte (Sem Topologia);0.0;0.0
18520974;SESD MANGUEIRAL;1a. Distribuição (Carga Real > 0);20182.5;0.0
18520758;SETD CACHAMORRA;1a. Distribuição (Carga Real > 0);209400.0;120.0
18519994;SETD WASHINGTON LUIS;1a. Distribuição (Carga Real > 0);181880.0;120.0
18520767;SETD ROCHA FREIRE;2a. Transformadora (Potência > 0);0.0;72.8
277466338;SETR BERNARDINO DE MELO;4. Transporte (Sem Topologia);0.0;0.0
10385889;SETD ALDEIA CAMPISTA;1a. Distribuição (Carga Real > 0);152665.0;120.0
18520003;SESD AVELAR;1a. Distribuição (Carga Real > 0);25830.0;0.0
18520785;SETD CAXIAS;1a. Distribuição (Carga Real > 0);213690.0;120.0
277466347;SETD COSIGUA SANTA CRUZ;4. Transporte (Sem Topologia);0.0;0.0
574520576;SETD JACAREPAGUÁ;4. Transporte (Sem Topologia);0.0;0.0
277466356;SETD ELETROBOLT;4. Transporte (Sem Topologia);0.0;0.0
18520362;SESD ANDRADE PINTO;1a. Distribuição (Carga Real > 0);14102.5;0.0
