ID;NOME;CLASSIFICACAO
18521073;SESD AMPARO;1. Distribuição (Carga)
498327289;SETD PCH LAJES;4. Transporte (Sem Topologia)
502578496;SETD BASE NAVAL_DESATIVADA;4. Transporte (Sem Topologia)
10386033;SETD LEOPOLDO;1. Distribuição (Carga)
502844928;SETD ASCENTY_DESATIVADA;4. Transporte (Sem Topologia)
10386087;SETD POSTO SEIS;1. Distribuição (Carga)
504476367;SETD DUPONT;4. Transporte (Sem Topologia)
1276;SETD MATURACA;1. Distribuição (Carga)
10386096;SETD HUMAITÁ;1. Distribuição (Carga)
1285;SETD AGUA GRANDE;1. Distribuição (Carga)
504644331;SETD RIO DA CIDADE;4. Transporte (Sem Topologia)
553217490;SETD PORTO SUDESTE;4. Transporte (Sem Topologia)
10386042;SETD CURICICA;1. Distribuição (Carga)
18520731;SETD AREIA BRANCA;1. Distribuição (Carga)
135613108;SESD AMERICAS;1. Distribuição (Carga)
134608399;SESD SANTA PERCILIANA;1. Distribuição (Carga)
10386105;SETD FREI CANECA;1. Distribuição (Carga)
1294;SETD TURIACU;1. Distribuição (Carga)
138550225;SESD VITORIA;1. Distribuição (Carga)
553221784;SETD USINA GERADORA SANTA FE;4. Transporte (Sem Topologia)
10386114;SETD MACKENZIE;1. Distribuição (Carga)
18520794;SETD VILAR DOS TELES;1. Distribuição (Carga)
143020517;SESD CONSERVATORIA;1. Distribuição (Carga)
553273312;SETD USINA MONTE SERRAT;4. Transporte (Sem Topologia)
152677490;SETD COPACABANA;1. Distribuição (Carga)
1303;SETD PAVUNA;1. Distribuição (Carga)
18519958;SETD ESPERANÇA;1. Distribuição (Carga)
553286194;SETD USINA BONFANTE;4. Transporte (Sem Topologia)
224567922;SETD MARAPICU;1. Distribuição (Carga)
1312;SETD MERITI;1. Distribuição (Carga)
10386051;SETD CAMPO MARTE;1. Distribuição (Carga)
18520803;SETD SARAPUI;1. Distribuição (Carga)
248609788;SESD MARCONE;1. Distribuição (Carga)
553290488;SETD USINA DE SANTA CRUZ;4. Transporte (Sem Topologia)
18519967;SESD FRANCISCO  MEDEIROS;1. Distribuição (Carga)
18520740;SESD SEPETIBA;1. Distribuição (Carga)
258717802;SESD PENTAGNA;1. Distribuição (Carga)
10385871;SETD TAQUARA;1. Distribuição (Carga)
272870827;SEMT PALMARES;3. Transporte (Com Topologia)
18520812;SESD VILA DE CAVA;1. Distribuição (Carga)
1123;SETD TERRA NOVA;1. Distribuição (Carga)
553294782;SETD CEPEL;4. Transporte (Sem Topologia)
18519976;SETD NOVA IGUACU;1. Distribuição (Carga)
18520749;SETD JABOATAO;1. Distribuição (Carga)
553299076;SETD PORTUÁRIA DE SEPETIBA;4. Transporte (Sem Topologia)
18519985;SETD ROSALI;1. Distribuição (Carga)
275730622;SETR PAULA BRITO;4. Transporte (Sem Topologia)
10385880;SETD JARDIM BOTANICO;1. Distribuição (Carga)
277466329;SETD AGA;4. Transporte (Sem Topologia)
553303370;SETD CPR COMERCIO DE PLASTICO;4. Transporte (Sem Topologia)
18520974;SESD MANGUEIRAL;1. Distribuição (Carga)
18520758;SETD CACHAMORRA;1. Distribuição (Carga)
18519994;SETD WASHINGTON LUIS;1. Distribuição (Carga)
18520767;SETD ROCHA FREIRE;2. Transformadora
277466338;SETR BERNARDINO DE MELO;4. Transporte (Sem Topologia)
10385889;SETD ALDEIA CAMPISTA;1. Distribuição (Carga)
18520003;SESD AVELAR;1. Distribuição (Carga)
18520785;SETD CAXIAS;1. Distribuição (Carga)
277466347;SETD COSIGUA SANTA CRUZ;4. Transporte (Sem Topologia)
574520576;SETD JACAREPAGUÁ;4. Transporte (Sem Topologia)
277466356;SETD ELETROBOLT;4. Transporte (Sem Topologia)
18520362;SESD ANDRADE PINTO;1. Distribuição (Carga)
18520012;SESD VILA GRACA;1. Distribuição (Carga)
18520821;SETD COMENDADOR SOARES;1. Distribuição (Carga)
1132;SETD RAMOS;1. Distribuição (Carga)
18520371;SETD VIGARIO;2. Transformadora
277466365;SETD FONTES NOVA;4. Transporte (Sem Topologia)
612564864;SETD ZONA OESTE;4. Transporte (Sem Topologia)
18520021;SESD MARAJOARA;1. Distribuição (Carga)
18520839;SETD COSMOS;1. Distribuição (Carga)
277466374;SEMT MAJOR VAZ;3. Transporte (Com Topologia)
18521271;SESD VILA POMBAL;1. Distribuição (Carga)
280191075;SETD PAPEL PIRAHY;4. Transporte (Sem Topologia)
18521280;SESD RIO SANTOS;1. Distribuição (Carga)
18521298;SESD CAMPO ALEGRE;1. Distribuição (Carga)
280223189;SETD CIFERAL;4. Transporte (Sem Topologia)
18521307;SESD ANTA;1. Distribuição (Carga)
280389625;SETD CARMARI;1. Distribuição (Carga)
18521325;SESD ILHA DA MADEIRA;1. Distribuição (Carga)
18521334;SESD POSSE;1. Distribuição (Carga)
283540595;SETD GRAJAU;4. Transporte (Sem Topologia)
18521352;SETD ELDORADO;2. Transformadora
284879469;SETD BAYER;4. Transporte (Sem Topologia)
284879616;SETD GUANDU;4. Transporte (Sem Topologia)
18521082;SESD MIGUEL COUTO;1. Distribuição (Carga)
284879839;SETD PANAMERICANA;4. Transporte (Sem Topologia)
22183116;SESD PIAI;1. Distribuição (Carga)
18521100;SESD CABUCU;1. Distribuição (Carga)
25334769;SESD UNIVERSIDADE;1. Distribuição (Carga)
284904325;SETD SÃO JOSÉ;4. Transporte (Sem Topologia)
18521109;SESD PEDREIRA;1. Distribuição (Carga)
18521118;SESD SANTA RITA;1. Distribuição (Carga)
1195;SETD BOCA DO MATO;1. Distribuição (Carga)
25455230;SESD GUARATIBA;1. Distribuição (Carga)
1204;SETD TRIAGEM;1. Distribuição (Carga)
25764042;SESD MAZOMBA;1. Distribuição (Carga)
1213;SETD GOVERNADOR;1. Distribuição (Carga)
25794114;SESD CAÇADOR;1. Distribuição (Carga)
1222;SETD FUNDAO;1. Distribuição (Carga)
25987899;SESD VERIDIANA;1. Distribuição (Carga)
29148432;SETD MATO ALTO;2. Transformadora
1231;SETD PIEDADE;1. Distribuição (Carga)
29186320;SEMT TERMINAL SUL;3. Transporte (Com Topologia)
30526190;SESD PALMAS;1. Distribuição (Carga)
18521127;SESD MIGUEL PEREIRA;1. Distribuição (Carga)
1240;SETD PEDRO ERNESTO;1. Distribuição (Carga)
18521136;SETD SANTISSIMO;2. Transformadora
34192093;SETD SANTA CLARA;1. Distribuição (Carga)
18520299;SETD SANTA CECILIA;2. Transformadora
18520605;SESD PARAIBA DO SUL;1. Distribuição (Carga)
18520308;SESD SANTA ISABEL;1. Distribuição (Carga)
18520317;SESD VARGEM ALEGRE;1. Distribuição (Carga)
18520614;SETD SAPUCAIA;2. Transformadora
18520326;SETD TRES RIOS;1. Distribuição (Carga)
18520335;SESD RIO DAS FLORES;1. Distribuição (Carga)
18520623;SESD CAMPO GRANDE;1. Distribuição (Carga)
18520632;SESD MORRO AZUL;1. Distribuição (Carga)
551882056;SETD SIDERURGICA BARRA MANSA;4. Transporte (Sem Topologia)
18520650;SESD PIRAI;1. Distribuição (Carga)
18520641;SESD MENDES;1. Distribuição (Carga)
18520659;SESD PAULO DE FRONTIN NOVA;1. Distribuição (Carga)
18520668;SESD ARROZAL;1. Distribuição (Carga)
18520677;SESD ENGENHEIRO NOBREGA;1. Distribuição (Carga)
18520686;SESD BARRA DO PIRAI;1. Distribuição (Carga)
18520695;SESD CAMPINA;1. Distribuição (Carga)
18520704;SESD MAGARÇA;1. Distribuição (Carga)
553208911;SETD COMPANHIA SIDERURGICA NACIONAL;4. Transporte (Sem Topologia)
1141;SETD CACHAMBI;1. Distribuição (Carga)
18520713;SESD QUINCAS;1. Distribuição (Carga)
1150;SETD GUANABARA;1. Distribuição (Carga)
1159;SETD BRAS DE PINA;1. Distribuição (Carga)
