ID;NOME;STATUS;POT_UNTRS;VIZINHOS;QTD_VIZINHOS
18520290;SESD MONTANHES;CARGA;0.0;;0
10385916;SETD PORTA D'AGUA;CARGA;197.999;;0
18521262;SESD COTRIL;CARGA;0.0;;0
18520587;SESD MOURA BRASIL;CARGA;0.0;;0
18521064;SETD FONTINELE;CARGA;60.0;;0
345834478;SETD BARRA 2;CARGA;120.0;;0
18520596;SESD WERNECK;CARGA;0.0;;0
280191046;SETD CINTRA;TRANSPORTE/VAZIA;0.0;;0
18520443;SESD PATY DO ALFERES;CARGA;0.0;;0
18521073;SESD AMPARO;CARGA;0.0;;0
498327289;SETD PCH LAJES;TRANSPORTE/VAZIA;0.0;;0
502578496;SETD BASE NAVAL_DESATIVADA;TRANSPORTE/VAZIA;0.0;;0
10386033;SETD LEOPOLDO;CARGA;80.0;;0
502844928;SETD ASCENTY_DESATIVADA;TRANSPORTE/VAZIA;0.0;;0
10386087;SETD POSTO SEIS;CARGA;120.0;;0
504476367;SETD DUPONT;TRANSPORTE/VAZIA;0.0;;0
1276;SETD MATURACA;CARGA;80.0;;0
10386096;SETD HUMAITÁ;CARGA;60.0;;0
1285;SETD AGUA GRANDE;CARGA;60.0;;0
504644331;SETD RIO DA CIDADE;TRANSPORTE/VAZIA;0.0;;0
553217490;SETD PORTO SUDESTE;TRANSPORTE/VAZIA;0.0;;0
10386042;SETD CURICICA;CARGA;120.0;;0
18520731;SETD AREIA BRANCA;CARGA;120.0;;0
135613108;SESD AMERICAS;CARGA;0.0;;0
134608399;SESD SANTA PERCILIANA;CARGA;0.0;;0
10386105;SETD FREI CANECA;CARGA;220.0;;0
1294;SETD TURIACU;CARGA;60.0;;0
138550225;SESD VITORIA;CARGA;0.0;;0
553221784;SETD USINA GERADORA SANTA FE;TRANSPORTE/VAZIA;0.0;;0
10386114;SETD MACKENZIE;CARGA;120.0;;0
18520794;SETD VILAR DOS TELES;CARGA;60.0;;0
143020517;SESD CONSERVATORIA;CARGA;0.0;;0
553273312;SETD USINA MONTE SERRAT;TRANSPORTE/VAZIA;0.0;;0
152677490;SETD COPACABANA;CARGA;120.0;;0
1303;SETD PAVUNA;CARGA;120.0;;0
18519958;SETD ESPERANÇA;CARGA;260.0;;0
553286194;SETD USINA BONFANTE;TRANSPORTE/VAZIA;0.0;;0
224567922;SETD MARAPICU;CARGA;60.0;;0
1312;SETD MERITI;CARGA;96.0;;0
10386051;SETD CAMPO MARTE;CARGA;174.8;;0
18520803;SETD SARAPUI;CARGA;100.0;;0
248609788;SESD MARCONE;CARGA;0.0;;0
553290488;SETD USINA DE SANTA CRUZ;TRANSPORTE/VAZIA;0.0;;0
18519967;SESD FRANCISCO  MEDEIROS;CARGA;0.0;;0
18520740;SESD SEPETIBA;CARGA;0.0;;0
258717802;SESD PENTAGNA;CARGA;0.0;;0
10385871;SETD TAQUARA;CARGA;120.0;;0
272870827;SEMT PALMARES;TRANSPORTE/VAZIA;0.0;;0
18520812;SESD VILA DE CAVA;CARGA;0.0;;0
1123;SETD TERRA NOVA;CARGA;60.0;;0
553294782;SETD CEPEL;TRANSPORTE/VAZIA;0.0;;0
18519976;SETD NOVA IGUACU;CARGA;177.999;;0
18520749;SETD JABOATAO;CARGA;120.0;;0
553299076;SETD PORTUÁRIA DE SEPETIBA;TRANSPORTE/VAZIA;0.0;;0
18519985;SETD ROSALI;CARGA;120.0;;0
275730622;SETR PAULA BRITO;TRANSPORTE/VAZIA;0.0;;0
10385880;SETD JARDIM BOTANICO;CARGA;120.0;;0
277466329;SETD AGA;TRANSPORTE/VAZIA;0.0;;0
553303370;SETD CPR COMERCIO DE PLASTICO;TRANSPORTE/VAZIA;0.0;;0
18520974;SESD MANGUEIRAL;CARGA;0.0;;0
18520758;SETD CACHAMORRA;CARGA;120.0;;0
18519994;SETD WASHINGTON LUIS;CARGA;120.0;;0
