PAC;SUB_ID;SUB_NOME;BARRA_ONS
PAC_ANG138;ANG_FURNAS;Angra-Furnas;138
FIC_CESP138;CESP;Palmital;138
FIC_CHV138;CHV;Chave do Vaz;138
FIC_CQT138;CQT;Conquista;138
FIC_GRD138;GRD;Gradim;138
PAC_UTEC138;US.CAMPOS;FURNAS CENTRAIS ELETRICAS-UTE R SILVEIRA;138
PAC_VWG138;VWG;VOLKSWAGEN;138
