COD_ID;CLASSE;QTD_CLIENTES;SOMA_CAR_INST;ENE_01;ENE_02;ENE_03;ENE_04;ENE_05;ENE_06;ENE_07;ENE_08;ENE_09;ENE_10;ENE_11;ENE_12
BOJ;RESIDENCIAL;15185;7583.549999999877;2084217.0100000005;2158073.4599999855;2424314.5500000003;2101349.150000006;2610692.019999986;2487571.290000052;2819021.820000028;1786420.5100000023;1850352.0;1756565.4899999944;1844287.7899999998;1960822.0
BOJ;COMERCIAL;1043;4792.409999999998;817771.86;826027.21;823049.1400000001;887165.36;874186.6499999999;872451.3799999999;945113.74;801109.75;707600.9700000001;706869.9;720903.26;712158.9599999997
BOJ;RURAL;609;466.16000000000025;166519.59;152697.34;150377.5;138895.12;139025.28;135784.0;122393.88;114830.36;106554.73999999999;115054.98;118251.36;113874.92
BOJ;PODER_PUBLICO;137;1629.9999999999998;134415.83000000002;150774.89;150312.7;164755.51;184343.38;232357.78999999998;217220.98;192802.45;161517.05;171006.87;173388.27;175669.2
ITR;RESIDENCIAL;53901;27544.530000000956;6479782.210000004;6682700.31000015;7240061.73;7339802.97000028;9175599.429999962;8924836.759999271;9917268.969999906;6145754.230000088;6517230.3100000005;6287950.780000079;6623902.6599999815;7196691.29
ITR;COMERCIAL;3116;19719.95999999999;2641236.96;2712985.1800000006;2786728.4399999995;3349714.0999999996;3221830.1700000004;3433161.5;3520214.3;3025695.0300000003;2663875.9699999993;2570982.84;2650144.94;2639021.2200000086
ITR;RURAL;4117;3152.220000000004;632869.8200000018;583955.45;626037.05;796176.5700000001;809686.5199999996;824669.0;738646.0800000001;689969.2;664192.2000000001;729005.7899999999;745272.01;710145.7999999999
ZSL;INDUSTRIAL;18;590.42;34474.9;29341.1;33967.35;46457.19;44744.05;47319.8;55890.84;47728.869999999995;53505.31;62311.979999999996;41571.34;50226.64
CRZ;RESIDENCIAL;878;317.66999999999996;98922.44999999998;100482.39999999983;113745.0;93269.17;114117.02000000018;111016.99000000038;123555.51000000026;80908.12999999989;85386.0;82724.79000000014;86984.44999999991;93677.0
CRZ;RURAL;483;317.72999999999996;103393.11999999995;83709.99;101056.86;96053.14000000001;94362.36;96428.0;85304.18999999999;83970.2;75153.06;84398.06000000001;84456.93;82236.99
NAT;RESIDENCIAL;20246;8704.549999999897;2116146.99;2198878.499999997;2293365.96;2367530.8300000182;2891329.779999988;2743705.1500000213;3146623.3600000753;2060730.5300000135;2225038.0;2121879.5499999886;2216504.5000000326;2399369.0
NAT;COMERCIAL;1177;2472.7599999999984;430090.67000000004;444295.14;479655.1599999999;612633.98;600092.98;617599.76;628916.02;569558.9700000001;493595.2100000001;508924.11;512696.55000000005;490175.34999999916
OUT;PODER_PUBLICO;19;27.349999999999994;9588.0;9050.0;10683.0;10299.0;11149.0;15846.0;16220.0;14774.0;11699.0;9612.0;12071.0;11955.0
NAT;INDUSTRIAL;58;1633.3600000000001;136389.57;141466.58;144350.51;168461.78000000003;178294.05;163521.4;192865.71000000002;191367.88;181638.93;182643.78;163005.84;191361.03999999998
SAR;PODER_PUBLICO;27;34.14;11882.0;14170.0;13963.0;17339.0;16400.0;20818.0;19129.0;13673.0;10997.0;9888.789999999999;12065.0;12462.0
NAT;RURAL;3296;1916.459999999995;569795.3300000002;491001.0;546810.52;572910.0;593131.7399999998;583314.0;574845.0;587208.0;555873.0;557842.0;545921.0;527441.0
ITL;RESIDENCIAL;9858;3853.140000000009;1082435.9400000002;1088436.8500000038;1226179.0;1149213.370000004;1453373.000000002;1379035.3000000103;1560498.1599999827;990424.3899999975;1036144.9;991131.7699999955;1053452.1999999918;1136339.7
ITL;INDUSTRIAL;21;1266.21;126211.10999999999;133715.26;136710.26;173879.72;172610.09000000003;159929.63;185898.78000000003;159231.56;148618.89;139728.30000000002;129177.38999999998;163808.0
QUI;RESIDENCIAL;9932;4080.320000000031;1266826.1099999999;1304872.6599999855;1356259.92;1186364.5900000152;1470630.9400000118;1383874.3100000017;1628211.3699999817;1111125.9199999862;1090189.8;1032348.4499999831;1042364.429999988;1088594.6
QUI;RURAL;751;348.05;139446.68000000008;119458.0;140291.53999999998;138659.0;139286.34000000017;137094.0;123980.0;116273.0;106403.0;113749.0;115911.0;106195.0
FAR;COMERCIAL;318;1200.3500000000001;214673.8;213937.59999999998;216848.53999999998;274439.4;245756.36;255412.95;243105.03999999998;220460.71000000002;211743.28000000003;208605.65000000002;191231.44;186455.30000000005
VIN;RURAL;1113;697.6500000000012;166526.24000000028;156076.0;161718.9;167409.0;169546.50000000035;170642.0;171738.0;148003.0;139655.0;143510.0;136175.0;135294.0
VIN;RESIDENCIAL;6136;2384.009999999977;625050.4900000001;643140.2500000013;648232.0;587995.1899999996;667917.9799999932;648268.8699999931;768191.1100000025;523909.9100000012;602527.0;523183.37000000133;488604.0600000012;515407.0
VIN;COMERCIAL;257;459.16999999999996;160299.1;167103.3;161170.5;166846.3;147807.45;164489.02;164752.84000000003;161929.33;163328.47;154312.6;169048.99;164806.80999999994
SLR;COMERCIAL;4304;80511.18999999999;8680696.040000001;9185358.159999998;9203496.28;9841023.419999996;10149313.909999998;9929799.250000002;11610713.620000001;9251798.78;7807405.0200000005;7305446.510000002;8601245.11;7765115.250000016
URU;PODER_PUBLICO;52;245.53;34594.07;46557.05;46952.82;47896.11;51159.52;69986.44;68125.72;60801.43;51560.92;48062.84;62065.94;55998.22
TOC;PODER_PUBLICO;14;134.76999999999998;12519.24;12560.04;13243.3;14730.0;16717.53;21702.05;20959.54;19671.0;17712.37;15609.11;17493.0;17566.16
GOI;PODER_PUBLICO;51;624.14;83629.28;87674.56;83555.31;121063.8;124027.46;144619.25;147254.03;132795.8;102454.09;99761.44999999998;104894.8;109053.51000000001
ING;INDUSTRIAL;38;641.86;154868.66;156081.72;167721.95;182169.34000000003;180960.43;160847.2;193079.28999999998;164812.49;153742.86000000002;143292.65;130288.06000000001;148033.47
ING;COMERCIAL;4305;40627.58999999996;6060951.51;6218815.640000001;6726366.1;7771009.810000002;7197386.24;7175313.390000001;7577901.07;6684539.609999999;5938879.090000002;5612446.959999999;5880129.979999999;5576785.009999996
ING;RESIDENCIAL;38332;18885.00000000023;6838918.0;7248698.100000302;8731613.739999998;8252981.350000093;10626315.700000096;9837020.489999399;10420810.699999984;6391802.990000167;6689108.3;6462399.4300001655;6490262.560000025;6748554.52
SAB;PODER_PUBLICO;16;31.579999999999995;3165.0;4322.0;4775.0;5849.0;12702.0;18624.0;12744.0;11384.0;10830.0;6251.3600000000015;8464.0;8162.0
BXG;PODER_PUBLICO;25;25.49;6017.0;6107.0;8649.0;7276.0;9397.0;13897.0;13471.0;11790.0;10537.0;8600.07;10759.0;11237.0
MPA;RESIDENCIAL;25014;14649.790000000297;2672029.0;2791590.899999968;3174123.8400000003;4896277.850000108;5690091.659999887;4990123.989999888;5461235.309999979;3518338.9100000695;3727549.0;3631398.1299999706;3715806.270000089;3983868.4
SER;PODER_PUBLICO;15;11.65;2350.0;2313.0;2934.0;2294.0;2947.0;3945.0;4076.0;3731.0;3693.0;3180.8599999999997;3645.0;3883.0
ICA;COMERCIAL;3043;34401.11;5479011.540000001;5493190.489999998;5993146.01;6756185.26;6926911.620000001;6661794.32;7067073.129999999;6300848.130000001;5729591.01;5466872.5;5706120.3100000005;5465667.199999998
MPA;COMERCIAL;931;9063.809999999998;1119044.0100000002;1122105.0599999998;1154969.88;1316763.9500000002;1466509.14;1413077.0300000003;1463270.72;1385235.0699999998;1226505.24;1241148.4900000002;1265443.2000000002;1217423.7999999993
PIN;COMERCIAL;2362;21834.560000000005;3408105.59;3410334.44;3659049.79;4029728.4700000007;4095995.249999999;4110236.7000000007;4373746.469999999;3727908.5199999996;3465408.25;3313672.35;3361808.63;3275612.420000002
PIN;RESIDENCIAL;45725;43146.37000000073;9907494.799999999;10311072.140000014;12243244.629999997;11712582.57000003;14448159.5500002;13675479.669999182;14252217.239999605;8872336.410000402;9443523.209999999;9033474.93000075;9148227.86999978;9559158.180000002
VIN;SERVICO_PUBLICO;17;1930.9199999999998;34533.0;32756.0;32065.4;39382.0;32021.47;48714.71;108937.86;28126.0;64144.89;82424.79;100359.68000000001;79662.08000000002
PDR;RESIDENCIAL;41841;14064.450000000732;4688009.800000002;4971254.050000522;5587874.91;4495307.380000404;5641278.819999994;5414230.729999957;6015432.2499991665;3854570.710000132;4099557.0;4002546.419999627;4004646.3000003267;4129954.0
PDR;COMERCIAL;1188;28381.960000000003;3122003.3999999994;3271478.799999999;3270778.4299999997;3341136.3200000003;3281034.35;3061400.93;3402783.1000000006;2984943.51;2754224.0999999996;2573917.1000000006;2580090.56;2514226.969999999
PDR;INDUSTRIAL;43;108.98000000000002;33081.0;32089.0;38092.96;38250.0;35415.0;40164.0;37859.0;37175.0;35267.0;37440.0;37160.0;51096.0
GXD;RESIDENCIAL;64812;25169.410000002827;6897086.529999999;7219737.250000994;7880525.76;6764513.0700010015;8240610.119998468;8297670.34999952;9435675.280000601;6302767.4499997115;7092537.2;6462771.250000233;6231214.929999993;6285808.0
ALC;RESIDENCIAL;69530;31804.450000001663;10093817.48;10339380.060000038;11430481.18;9467447.140000653;11859593.03999954;11525855.689999847;12623772.280000977;8395572.399999443;8726610.2;8511893.700000232;8373615.909999283;8649353.239999998
FAR;PODER_PUBLICO;40;86.35000000000004;38271.0;43224.0;35907.600000000006;46852.0;44215.0;52698.0;48182.0;43098.0;35479.0;32290.980000000007;35567.0;35375.0
GAB;RESIDENCIAL;69453;35945.00000000196;9520976.0;10185480.900000354;11270262.0;11171951.540000517;14597323.399999918;13183627.589998314;15133945.720000507;9580872.109999763;10140329.0;9405062.94000065;9360671.529999254;9892418.0
GAB;INDUSTRIAL;85;2011.3799999999999;139427.77000000002;138845.64;148625.24000000002;192437.1;171993.7;145338.77000000002;179602.40999999997;143035.40000000002;157996.62;143550.29;126753.70000000001;136178.49
GAB;COMERCIAL;3468;31422.49999999997;4612734.890000001;4773500.43;4839355.62;5361223.049999999;5687772.310000004;5566674.08;6098916.939999999;5221514.680000001;4592812.46;4366950.050000001;4503983.91;4254156.990000006
ALC;INDUSTRIAL;111;9330.75;2120048.7;2186657.95;1807855.9900000005;2116466.72;2221544.46;2227926.5700000003;2307264.57;2368494.56;2309735.3899999997;2208538.7;2319051.95;2347717.3899999997
ALC;COMERCIAL;3585;36310.54999999999;5413796.859999999;5664835.460000002;5998519.61;6227074.8500000015;6115610.710000002;6100059.390000001;6617517.549999998;5661034.539999999;5001951.279999999;4713102.960000001;4926372.670000001;4589134.760000001
GXD;COMERCIAL;1789;16280.539999999997;2323277.7099999995;2374351.5899999994;2332540.3599999994;2475805.5100000002;2345545.7600000002;2421832.21;2463280.6100000003;2221508.29;2076099.7699999998;2052111.9;2394746.9600000004;2067276.2999999984
BGN;COMERCIAL;1155;21927.339999999997;2130108.22;2166939.6800000006;2144923.5300000003;2274493.04;2269707.7699999996;2143990.09;2371312.51;2216143.1799999997;2164206.87;2131123.14;2175223.88;2149433.04
BGN;RESIDENCIAL;31321;9982.439999999935;3439078.54;3464087.330000008;3557360.4200000004;3529997.2700001383;4314062.7800001195;3997478.9600001182;4923717.44000005;3621111.950000093;4115055.9;3880145.669999879;3973724.460000124;4281823.6
RDC;RESIDENCIAL;21819;10225.36999999992;3265889.3600000003;3235355.9199999785;3208571.8199999994;3244215.1299999985;3773054.750000004;3462219.0000000475;4159961.79999997;2954823.6300000343;3451745.0000000005;3268564.5199999725;3298833.560000107;3498902.0400000005
BGN;INDUSTRIAL;72;23529.57;3280640.99;3312512.98;2946693.9299999997;3267169.730000001;3363493.1100000003;2923809.1999999997;6226211.509999999;3505014.6999999993;3615307.4100000006;3399798.4799999995;3589530.11;3703920.94
PAL;RESIDENCIAL;42749;13114.61000000057;5547412.680000001;5628344.960000124;5724169.100000001;4787440.960000258;5742725.27999997;5483028.939999811;6360888.939999714;4653885.059999983;5296212.8;4922819.530000011;5040920.960000061;5322684.399999999
PAL;COMERCIAL;3928;19174.380000000005;3329080.8499999996;3360840.73;3406945.37;3585365.9700000007;3508276.290000001;3313758.929999999;3523626.670000001;3279153.4699999997;3167865.999999999;3069024.0100000007;3161736.91;3044349.93000001
PAL;INDUSTRIAL;125;5352.32;638416.56;624145.06;655743.79;643177.6900000001;585845.78;476462.65;604041.92;602895.01;661147.6;624652.76;530270.22;606400.24
SJB;PODER_PUBLICO;71;899.49;74500.51999999999;77030.99;97009.01000000001;100971.76000000001;103940.09;114126.51000000001;109618.39;100045.0;86443.01;80391.56;92526.54000000001;84997.0
BGN;SERVICO_PUBLICO;38;536.1899999999999;115020.47;68910.42;76933.12000000001;86601.44;67671.85;112311.0;149686.0;92457.68;100500.0;143684.38;179837.43;168210.24
POT;PODER_PUBLICO;79;1037.38;79544.75;82930.47;114614.35;111714.77;139225.57;156907.91;166892.71;154089.13;140721.28;130989.21999999996;126246.48;125040.73999999999
ACU;PODER_PUBLICO;34;102.81;14060.0;14974.0;15164.0;18639.0;20456.0;68967.0;61613.0;43382.0;42385.0;15716.51;16170.0;15102.0
CAE;PODER_PUBLICO;13;250.09;5112.9;6019.0;7985.0;6636.0;8265.0;14404.0;12661.0;10244.0;8418.0;6005.72;8953.0;9760.0
POT;SERVICO_PUBLICO;16;672.6;76077.0;72367.0;67311.95;108631.0;121573.68;67249.66;96000.62;133355.0;85955.06;108084.26;31491.84;48843.45999999999
BGN;PODER_PUBLICO;107;3242.03;431385.48;404268.56;515679.06;441625.1;453074.23;526303.35;526851.13;540342.8;526999.27;523315.23000000004;550597.2;558852.92
VDP;RESIDENCIAL;55693;30097.090000000586;7801079.649999999;7923633.920000307;8612855.28;7641335.4400001075;9655077.249999596;9090853.349999735;10040394.39999987;6716550.399999973;7154328.9;6717084.020000005;6949416.569999731;7123993.4
GXD;RURAL;72;30.999999999999993;17706.360000000004;14866.0;15383.0;14909.0;15198.480000000007;14817.0;12586.0;12219.0;11326.0;13981.0;10529.0;11132.0
VDP;COMERCIAL;2373;46659.12000000001;5148514.399999999;5357459.300000001;5520730.730000001;5734471.5600000005;6051349.779999999;5678208.009999998;6245187.459999997;5397505.809999999;4995780.22;4663407.740000002;4952792.34;4683917.79
VDP;RURAL;187;195.59999999999997;54924.380000000005;37176.2;45112.92;66609.5;48440.52999999999;46112.4;39665.6;41796.4;36979.6;38118.4;38453.6;34828.4
ITB;RESIDENCIAL;26220;11521.640000000167;3502856.57;3730069.00000002;3995036.2399999998;3107631.330000117;3969113.8000002033;3738167.8200000245;4274914.780000136;2882868.7200000673;3234167.0;3030783.9899999336;2932414.650000057;2916575.0
MAR;RESIDENCIAL;62186;32810.34000000187;8630175.98;8952809.670000384;10212616.549999997;9485244.000000415;11779428.820000058;10801124.869999379;11531180.000000212;7460735.960000095;7954737.130000001;7753862.090000544;8003206.989999668;8414953.33
MAR;COMERCIAL;1688;11021.95;1817689.76;1864518.1000000003;2030084.5099999998;2217819.1000000006;2187674.4800000004;2194113.42;2249466.77;1945830.8000000003;1787607.6300000001;1768253.9;1812302.48;1721307.0000000014
MAR;RURAL;238;314.1499999999999;68643.71;63700.0;66898.9;84226.0;92699.09999999996;89926.0;64859.0;60440.0;55259.0;65382.0;63242.0;59881.0
RBN;COMERCIAL;1357;8980.839999999997;1432585.6800000002;1502535.0499999998;1534996.6300000001;1684523.32;1670632.3100000003;1707857.61;1806062.2799999998;1534192.3900000001;1431682.08;1414274.6499999997;1372623.18;1302721.5700000003
RBN;RESIDENCIAL;20256;11478.890000000058;2993602.55;3170007.900000019;3629898.66;3034724.5799999973;3772277.3599999375;3578943.420000068;4115133.9400000726;2658047.230000028;2851838.26;2697149.989999994;2661939.6200000313;2832711.5500000003
PIR;RESIDENCIAL;20;8.27;2900.0;3163.649999999999;2835.0;2988.2899999999995;3331.9;3018.2500000000005;3581.83;2555.32;2518.0;2387.84;2450.1899999999996;3053.0
BAR;RESIDENCIAL;11476;3441.8799999999837;1432321.9700000002;1443899.3999999817;1530916.0;1300242.6400000057;1625920.4799999746;1484390.9700000107;1700951.4599999744;1161093.979999995;1264634.4;1206877.4699999904;1243192.6999999864;1331659.6
BAR;COMERCIAL;435;20751.38;1425766.24;1473061.2900000003;1275577.42;1583588.3800000001;1501296.4899999998;1605067.9099999997;1709818.25;1485553.4700000004;1301696.1299999997;1331612.26;1353040.2599999998;1322204.3999999997
BAR;INDUSTRIAL;20;7472.96;532281.8;514192.97000000003;533622.8300000001;547247.39;585325.9999999999;533305.29;523150.36;541608.6799999999;589753.11;507650.54;536733.24;588448.86
BAR;RURAL;405;596.5399999999998;135823.97999999995;124557.81;165532.76;134876.85;137449.76000000004;129001.2;126709.92;118392.12;111218.23000000001;116173.81;113375.13;114252.12
